,Scenario_Full_List,Scenario,ClimateScenario,ClimateGroup,HarvestScenario,Replicate,Time,EcoregionName,NEEC,SOMTC,AGB,AG_NPPC,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3
1,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco1,0,8697.1,18410.6,17,328,249.2,8327.4,2138.4,1943.9,553.1,21.4,8.6,27.9,7.3,142,846.2,3837.9,3871
2,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco2,0,10371.2,18352.8,18.3,316,240.2,8312.1,2147.5,1943.6,555.4,21.3,8.4,27.5,7.1,144.4,1022,4270.7,4934.1
3,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco3,0,14233.2,17792.2,8.3,322.8,245.3,8041.6,2081.9,1849.3,528.7,20.9,8.4,26.6,7,142.4,1702.1,5640.8,6747.9
4,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco4,0,15182.8,17865.7,10.5,320.3,243.4,8078.5,2098.5,1844.1,528.8,21,8.3,26.7,6.9,144.9,1696,5896.8,7445.1
5,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco5,0,13472.5,12807.1,8.8,264.5,201,5756.6,1491.5,1260.1,358.9,16.5,6.4,20.7,5.3,105.6,1514.3,5032.2,6820.4
6,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco6,0,24173.9,15436.2,50.4,376.3,286,6880.6,1753.2,1466.3,408.9,22.6,8.7,28.2,7.2,137.6,2053.5,9855,12127.7
7,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco7,0,25923.8,13684.8,40.5,358.8,272.7,6074.8,1548.6,1245.3,345.9,21.2,8.2,25.9,6.7,126.8,2075.8,10353.5,13367.7
8,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco8,0,9703.8,23025.9,19,357.3,271.5,10467.6,2661.3,2344.7,666.3,21.7,8.5,27.2,6.9,159.2,960.5,4392.3,4191.8
9,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco9,0,10813.3,22180,15.2,353.9,269,10073.3,2565.7,2233.2,635.2,21.3,8.3,26.3,6.7,155.7,1025.4,4626.6,5005.6
10,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco10,0,14186.3,20675.7,23,409.3,311.1,9310.3,2377.5,1933.9,546.7,22.6,9.1,27.7,7.1,151.7,1547,5694.1,6793.5
11,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco11,0,15927.1,23705.1,14.6,418.6,318.1,10725.1,2730.9,2317.5,657.6,23.8,9.5,29.3,7.5,168.9,1637,6439.7,7681.7
12,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco12,0,16837.8,21804.6,12.9,418.7,318.2,9831.5,2503.6,2080.5,588.7,23.3,9.3,28.6,7.3,158.2,1857.3,6516.9,8305.4
13,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco13,0,22343.5,23129.9,21.6,453.9,344.9,10419.2,2641.5,2208.2,621.1,24.8,10.5,29.5,7.9,170.4,1987.9,9871.8,10313.3
14,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco14,0,25409.9,22493.8,18.3,474.1,360.3,10100.2,2563.9,2070.8,581.5,24.9,11.3,27.3,8,169,2211.2,10785.4,12244.3
15,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco15,0,7659.4,16778.6,25.3,328.4,249.6,7559.5,1923.1,1655.1,464.6,19.7,8.2,23.6,6.1,127.6,807.6,3333.7,3390.5
16,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco16,0,11353.4,17821,39.1,366.1,278.2,8011.7,2036.5,1684.7,471.8,20.8,9.4,23.6,6.6,138.5,1112.1,4477.9,5624.8
17,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco17,0,12607.9,17229.9,45.3,366.4,278.5,7733.3,1969.5,1607.8,450.9,20.3,8.8,24.3,6.3,137.3,1218.8,4956.8,6295
18,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco18,0,15496.9,19121.4,13.7,415,315.4,8574,2200.6,1744,491.6,23.4,10.4,26.3,7.1,148.8,1445,5524.1,8378.9
19,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco19,0,17172.4,21775,34.6,424.9,322.9,9811.4,2508.6,2119.2,600.2,24.4,10.5,28.5,7.5,166.5,1894,6390.9,8721.1
20,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco20,0,16744.7,19910.5,23.6,413,313.8,8946.7,2281.4,1878,527.2,23.8,10.3,28,7.4,161,1496.9,6161.5,8925.2
21,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,0, eco21,0,25861.5,21235.6,16,443.8,337.3,9539,2430.5,2006.9,564.9,24.3,11.7,26,7.8,175.1,2251.5,10780.4,12654.5
22,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco1,-140.7,8819.2,19526,285.5,505.7,384.4,8673.7,2225,1867,662.6,20.7,8.2,26.8,7.1,131.7,893.5,3918.9,3875
23,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco2,-146.6,10453.4,19502.6,292.7,498,378.5,8670.3,2237.8,1867.4,672.2,20.6,8.1,26.4,7,132.3,1080.9,4300.6,4939.6
24,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco3,-158.6,14316,18698.4,299.1,501.2,380.9,8288.9,2142.1,1796.3,672.4,20.6,8.1,26.1,7,129.8,1820.5,5616.6,6749.1
25,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco4,-157.4,15208.5,18711.4,301.8,492.1,374,8304.1,2154.4,1799.2,679.8,20.6,8,26.1,6.9,130.1,1816.8,5816.6,7444.9
26,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco5,-140.6,13445.3,13809.8,248.7,410.3,311.8,6081.7,1576.6,1274.8,498.6,17.1,6.5,21.5,5.7,98.9,1646.8,4882.2,6817.4
27,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco6,-187,24197.1,17035.6,315.7,570.5,433.6,7437.8,1896.7,1499.9,582.2,23.4,9,29.2,7.8,121.9,2233.7,9703.5,12138
28,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco7,-190.4,25790.3,15846.5,313.2,558,424.1,6891.4,1758.9,1310.2,498.1,23,8.9,28.2,7.5,113,2258.5,10041.9,13376.8
29,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco8,-170.1,9822,25066.3,342.9,603.5,458.6,11180.2,2848.4,2213.5,747,24.9,9.9,30.4,8.3,154.8,1010.3,4460.3,4196.6
30,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco9,-185.5,10873.6,24546.4,354.4,608.7,462.6,10930.5,2789.8,2128.9,722.9,25.3,10.1,30.3,8.4,152.6,1079.6,4631,5010.4
31,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco10,-215.3,14342.9,22205.2,369.2,621.6,472.4,9816.6,2511.8,1916.7,715,26,10.6,31.1,8.5,146.9,1679.8,5723.9,6792.2
32,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco11,-207.9,15981.2,25729.9,390.1,678.2,515.5,11417,2911.1,2237.3,784.9,27.9,11.3,33.6,9.2,163.6,1731.9,6406.6,7679.1
33,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco12,-220.6,16910.3,23853.5,387.9,664.5,505,10548.5,2691.5,2043.5,733.9,27.6,11.2,33.1,9,155.2,1988.9,6464.4,8301.9
34,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco13,-214.6,22603.4,24264.5,381.4,679.4,516.3,10726.8,2723.9,2148.4,789.9,27.6,11.7,32.4,9.2,159.2,2132.4,9987.3,10324.4
35,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco14,-234.5,25591.2,23569.2,402.8,696.2,529.1,10383.2,2639.6,2059.2,792.5,28.2,12.9,30.9,9.6,159.5,2385.2,10791.1,12255.5
36,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco15,-268.9,7871.8,18464,348.2,518.3,393.9,8161.6,2084.9,1631,582,27.7,11.7,32.1,8.2,134.9,896.2,3445.9,3394.8
37,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco16,-253.8,11529.5,17397.7,344.2,497.8,378.3,7680.7,1961.1,1698.6,709.1,26.3,11.8,29.2,7.9,136.2,1232.4,4539.7,5621.1
38,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco17,-316.2,12713.9,18679.2,398.7,559.7,425.4,8221.1,2102.8,1644.7,637.2,30,13.1,34.2,8.9,142.2,1354.8,4925.7,6291.1
39,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco18,-395.3,15662.7,21457.3,480.4,642.4,488.3,9444.2,2433.8,1822.5,692.7,35.8,15.9,38.8,10.5,163.7,1582.4,5544.7,8371.9
40,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco19,-440.5,17394.3,24478.9,533,707.6,537.8,10799.4,2769.1,2130.9,772.5,39,17.3,42.9,11.5,183.2,2062.2,6432.4,8716.5
41,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco20,-338.4,16741.5,21753.9,443.1,636.3,483.6,9589.7,2453.6,1908.3,713.4,34,14.8,38.4,10.1,162.4,1639.4,6022.4,8917.3
42,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,10, eco21,-420.4,26079.1,23383.2,514.5,698.2,530.6,10293.7,2631.3,2044.7,771.5,37.2,17.7,38.7,11.3,178.2,2466.9,10768.4,12665.7
43,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,20, eco1,-224,9016.5,20398.9,367.1,575.1,437.1,9014.7,2311.4,1806.8,727.6,23.7,10,27,9.2,127.4,944.9,4064.4,3879.7
44,CR_BNU_AccelHarv_Rep1,CR_BNU_AccelHarv,BNU,ClimateChange,AccelHarv,1,20, eco2,-231.5,10629.7,20382.7,375.4,570.1,433.3,9011.9,2322.8,1809.8,747.2,23.7,9.8,26.8,9.1,127.8,1137.4,4418.6,4945.9
